bam_ID;SRA_run
CLL_212;SRR7279977
GERM_212;SRR7279986
CLL_221;SRR7279976
GERM_221;SRR7279989
CLL_347;SRR7279975
GERM_347;SRR7279988
CLL5;SRR17247436
CLL702;SRR15882943
CLL703;SRR15882942
CLL642;SRR14339610
GERM_C25;SRR7279983
CLL_C25;SRR7279974
CLL13;SRR17247441
CLL14;SRR17247440
CLL11;SRR17247443
CLL12;SRR17247442
CLL6;SRR17247435
CLL7;SRR17247434
TX_Q67;SRR7279978
GERM_D22;SRR7279982
CLL_D22;SRR7279973
CLLP42;SRR15882947
CLLP43;SRR15882946
TX_Q76;SRR7279979
TX_R62;SRR7279970
GERM_E31;SRR7279985
CLL_E31;SRR7279972
CLL8;SRR17247433
CLL9;SRR17247432
CLL10;SRR17247444
CLLCD92;SRR15882945
CLLCD95;SRR15882944
TX_Q82;SRR7279987
GERM_F3;SRR7279984
CLL_F3;SRR7279971
GL111TCL;SRR14339613
CLL111TCL;SRR14339612
CLL72TX;SRR14339557
CLL73TX;SRR14339552
CLL121TX;SRR14339551
CLL122TX;SRR14339550
GL82TCL;SRR14339601
CLL82TCL;SRR14339590
CLL125TX;SRR14339611
GL91TCL;SRR14339579
CLL91TCL;SRR14339568
GERM1;SRR17247445
CLL1;SRR17247446
CLL2;SRR17247439
CLL3;SRR17247438
CLL4;SRR17247437
