;GL_bam_ID;CL_bam_ID;annovar_path;snplist_path
0;GERM_212;CLL_212;./07_annovar/GERM_212vsCLL_212.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_212vsCLL_212.xlsx
1;GERM_221;CLL_221;./07_annovar/GERM_221vsCLL_221.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_221vsCLL_221.xlsx
2;GERM_347;CLL_347;./07_annovar/GERM_347vsCLL_347.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_347vsCLL_347.xlsx
3;GERM_347;CLL5;./07_annovar/GERM_347vsCLL5.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_347vsCLL5.xlsx
4;GERM_347;CLL702;./07_annovar/GERM_347vsCLL702.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_347vsCLL702.xlsx
5;GERM_347;CLL703;./07_annovar/GERM_347vsCLL703.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_347vsCLL703.xlsx
6;GERM_C25;CLL642;./07_annovar/GERM_C25vsCLL642.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_C25vsCLL642.xlsx
7;GERM_C25;CLL_C25;./07_annovar/GERM_C25vsCLL_C25.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_C25vsCLL_C25.xlsx
8;GERM_C25;CLL13;./07_annovar/GERM_C25vsCLL13.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_C25vsCLL13.xlsx
9;GERM_C25;CLL14;./07_annovar/GERM_C25vsCLL14.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_C25vsCLL14.xlsx
10;GERM_C25;CLL11;./07_annovar/GERM_C25vsCLL11.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_C25vsCLL11.xlsx
11;GERM_C25;CLL12;./07_annovar/GERM_C25vsCLL12.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_C25vsCLL12.xlsx
12;GERM_C25;CLL6;./07_annovar/GERM_C25vsCLL6.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_C25vsCLL6.xlsx
13;GERM_C25;CLL7;./07_annovar/GERM_C25vsCLL7.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_C25vsCLL7.xlsx
14;GERM_C25;TX_Q67;./07_annovar/GERM_C25vsTX_Q67.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_C25vsTX_Q67.xlsx
15;GERM_D22;CLL_D22;./07_annovar/GERM_D22vsCLL_D22.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_D22vsCLL_D22.xlsx
16;GERM_D22;CLLP42;./07_annovar/GERM_D22vsCLLP42.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_D22vsCLLP42.xlsx
17;GERM_D22;CLLP43;./07_annovar/GERM_D22vsCLLP43.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_D22vsCLLP43.xlsx
18;GERM_D22;TX_Q76;./07_annovar/GERM_D22vsTX_Q76.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_D22vsTX_Q76.xlsx
19;GERM_D22;TX_R62;./07_annovar/GERM_D22vsTX_R62.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_D22vsTX_R62.xlsx
20;GERM_E31;CLL8;./07_annovar/GERM_E31vsCLL8.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_E31vsCLL8.xlsx
21;GERM_E31;CLL9;./07_annovar/GERM_E31vsCLL9.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_E31vsCLL9.xlsx
22;GERM_E31;CLL10;./07_annovar/GERM_E31vsCLL10.VarScan.snp_indel.Somatic.hc.filter.vcf.annovar.out.mm10_multianno.csv;./snplists/GERM_E31vsCLL10.xlsx
