;bam_ID;line_ID;flowcell_ID;library_ID;bam_path;bai_path
0;CLL_212;line_0;4;2;./04_processed_bam/CLL_212.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/CLL_212.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
1;CLL_221;line_1;4;2;./04_processed_bam/CLL_221.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/CLL_221.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
2;CLL_347;line_2;4;2;./04_processed_bam/CLL_347.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/CLL_347.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
3;CLL_C25;line_3;4;2;./04_processed_bam/CLL_C25.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/CLL_C25.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
4;CLL_D22;line_4;4;2;./04_processed_bam/CLL_D22.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/CLL_D22.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
5;CLL_E31;line_5;4;2;./04_processed_bam/CLL_E31.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/CLL_E31.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
6;CLL_F3;line_6;4;2;./04_processed_bam/CLL_F3.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/CLL_F3.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
7;CLL111TCL;line_7;1;1;./04_processed_bam/CLL111TCL.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/CLL111TCL.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
8;CLL121TX;line_8;1;1;./04_processed_bam/CLL121TX.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/CLL121TX.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
9;CLL122TX;line_8;1;1;./04_processed_bam/CLL122TX.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/CLL122TX.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
10;CLL125TX;line_9;3;1;./04_processed_bam/CLL125TX.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/CLL125TX.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
