bam_ID;line_ID;flowcell_ID;library_ID;bam_path;bai_path
B1-4-9_tail;B;NA;1;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/B1-4-9_tail.realigned.recalBam.calmd.bam;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/B1-4-9_tail.realigned.recalBam.calmd.bai
A1-2-2_tail;A;NA;1;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/A1-2-2_tail.realigned.recalBam.calmd.bam;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/A1-2-2_tail.realigned.recalBam.calmd.bai
D1-2-2_tail;D;NA;1;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/D1-2-2_tail.realigned.recalBam.calmd.bam;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/D1-2-2_tail.realigned.recalBam.calmd.bai
B1-4-1_tail;B;NA;1;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/B1-4-1_tail.realigned.recalBam.calmd.bam;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/B1-4-1_tail.realigned.recalBam.calmd.bai
B1-4-5_BM;B;NA;1;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/B1-4-5_BM.realigned.recalBam.calmd.bam;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/B1-4-5_BM.realigned.recalBam.calmd.bai
A1-2-3_tail;A;NA;1;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/A1-2-3_tail.realigned.recalBam.calmd.bam;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/A1-2-3_tail.realigned.recalBam.calmd.bai
E1-1-1_tail;E;NA;1;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/E1-1-1_tail.realigned.recalBam.calmd.bam;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/E1-1-1_tail.realigned.recalBam.calmd.bai
D1-2-1_tail;D;NA;1;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/D1-2-1_tail.realigned.recalBam.calmd.bam;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/D1-2-1_tail.realigned.recalBam.calmd.bai
A1-4-1_BM;A;NA;1;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/A1-4-1_BM.realigned.recalBam.calmd.bam;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/A1-4-1_BM.realigned.recalBam.calmd.bai
C2-2-2_BM;C;NA;1;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/C2-2-2_BM.realigned.recalBam.calmd.bam;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/C2-2-2_BM.realigned.recalBam.calmd.bai
C1-1-1_tail;C;NA;1;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/C1-1-1_tail.realigned.recalBam.calmd.bam;/limcr-ngs/Franz/2021-07-29_ENA_mouse_mutations_analysis/07_processed_bam/C1-1-1_tail.realigned.recalBam.calmd.bai
